"","type","kernel","cost","gamma","F1_Score_train","F1_Score_test","Acc_train","Acc_test"
"1","C-classification","radial",0.1,0.5,0.0603928466725301,0.0389329488103821,0.916460315391633,0.918932068357356
"2","C-classification","radial",0.1,1,NA,NA,0.913775576697511,0.917290032232561
